kinopoiskId,imdbId,posterUrl,posterUrlPreview,coverUrl,logoUrl,ratingImdb,webUrl,year,filmLength,slogan,description,shortDescription,editorAnnotation,isTicketsAvailable,productionStatus,type,ratingMpaa,ratingAgeLimits,countries,genres,startYear,endYear,serial,shortFilm,completed,lastSync,name
736,tt0146984,https://kinopoiskapiunofficial.tech/images/posters/kp/736.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/736.jpg,,,6.7,https://www.kinopoisk.ru/film/736/,2000,126,Этому нельзя научиться... Это должно быть в тебе...,"Ветеран войны Раннулф Джуннах когда-то был лучшим игроком в гольф во всей Саванне. Но сейчас он всего лишь разочарованный в жизни пьяница. Внезапно в его жизни появляется таинственный Багер Ванс.

Он открывает Раннулфу секреты истинного мастерства игры. Теперь Джуннах готов к большому соревнованию.",,,False,,FILM,pg13,age12,[{'country': 'США'}],"['драма', 'мелодрама', 'фэнтези', 'спорт']",,,False,False,False,2022-09-08T01:28:20.224101,Легенда Багера Ванса
737,tt0264796,https://kinopoiskapiunofficial.tech/images/posters/kp/737.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/737.jpg,,,7.5,https://www.kinopoisk.ru/film/737/,2001,125,"Seen from a distance, it's perfect","45-летний архитектор Джордж Монро, узнав о своей скорой кончине, понимает, что жизнь его прошла совсем не так, как ему хотелось бы. Он пытается исправить ошибки прошлого, став заботливым и трогательным. Несмотря на то, что его терпеть не могут все члены семьи, которую он покинул десять лет назад, он решает не только во что бы то ни было построить дом, но и привлечь в качестве помощника своего сына.",,,False,,FILM,r,age16,[{'country': 'США'}],['драма'],,,False,False,False,2022-09-09T18:41:53.038039,Жизнь как дом
738,,https://kinopoiskapiunofficial.tech/images/posters/kp/738.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/738.jpg,https://avatars.mds.yandex.net/get-ott/374297/2a00000160560f12efdc693596c25f716f1b/orig,https://avatars.mds.yandex.net/get-ott/2385704/2a0000016e043be2e9c73723c7a400e3d062/orig,7.5,https://www.kinopoisk.ru/film/738/,2002,130,"Солгать всегда проще, чем сказать правду","Дэвид Гейл - человек, который пробовал жить в соответствии со своими принципами, но, в причудливом повороте судьбы, этот преданный отец, популярный профессор и ярый противник смертной казни окажется в камере смертников за убийство активистки Констанции Харравей. За три дня до исполнения приговора Гейл соглашается дать интервью репортеру Битси Блум.

Но журналистка вскоре понимает, что ее участие в этом деле не ограничится одним интервью и что жизнь человека находится в ее руках. Поставив на кон свою собственную безопасность, она начинает расследовать те ужасные события, которые окружали смерть Констанции.",Противник смертной казни приговорен к высшей мере. Триллер Алана Паркера о несовершенстве судебной системы,,False,,FILM,r,age18,"[{'country': 'США'}, {'country': 'Великобритания'}, {'country': 'Испания'}, {'country': 'Германия'}]","['триллер', 'драма', 'криминал']",,,False,False,False,2022-08-31T23:04:56.380906,Жизнь Дэвида Гейла
739,tt0300140,https://kinopoiskapiunofficial.tech/images/posters/kp/739.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/739.jpg,,,7.8,https://www.kinopoisk.ru/film/739/,2002,109,,"16-летняя Лиля живет в маленьком бедном городке. Ее мать уехала в Америку с новым любовником, и Лиля ждет, когда ей пришлют приглашение. Не дождавшись от матери ни писем, ни денег, Лиля понимает, что ее бросили.

У нее остается единственный друг – 11-летний Володя, с которым они мечтают о лучшей жизни. И однажды у Лили появляется надежда. Она влюбляется во взрослого симпатичного парня по имени Андрей, и он уговаривает Лилю поехать вместе с ним в Швецию...",,,False,,FILM,r,age16,"[{'country': 'Швеция'}, {'country': 'Дания'}]","['драма', 'криминал']",,,False,False,False,2022-09-08T01:55:04.728299,Лиля навсегда
740,tt0275847,https://kinopoiskapiunofficial.tech/images/posters/kp/740.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/740.jpg,https://avatars.mds.yandex.net/get-ott/223007/2a0000016904bcf6610919fb92065dac1d00/orig,https://avatars.mds.yandex.net/get-ott/1531675/2a0000016ef39adf0329aa90cc663531b28d/orig,7.3,https://www.kinopoisk.ru/film/740/,2002,85,He's coming to our galaxy,"Лило — это маленькая девочка, живущая на Гавайах. Она сирота и живет вместе со своей старшей сестрой Нани. Лило любит всех животных, но больше всего она подружилась с собачкой по имени Стич, которая на самом деле совсем не собачка, а замаскированный инопланетянин.

Дело было так: некоего преступника по имени Стич переправляли в интергалактическую тюрьму, но ему удалось ускользнуть и приземлиться на Земле, где он и встретил Лило. И тут Стич прикинулся собакой, дабы скрыться от преследования интергалактической полиции. Теперь Стич учится тому, чему не был обучен — заботе о других.","Одинокая Лило знакомится с монстром, который благодаря девочке становится милым зверем. Номинация на «Оскар»",,False,,FILM,pg,age0,[{'country': 'США'}],"['драма', 'фантастика', 'приключения', 'фэнтези', 'комедия', 'мультфильм', 'семейный']",,,False,False,False,2022-09-01T06:18:17.084338,Лило и Стич
741,tt0245238,https://kinopoiskapiunofficial.tech/images/posters/kp/741.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/741.jpg,,,6.8,https://www.kinopoisk.ru/film/741/,2001,103,Любовь - не извращение,"В дорогом частном колледже, затерянном в густом лесу, шестнадцатилетних воспитанниц учат всему: от иностранных языков до фехтования. Единственное, чему невозможно научить - как скрыть первое чувство любви, если оно направлено на твою соседку по комнате. Как проявить это запретное чувство, чтобы не стать изгоем, чтобы добиться того же в ответ…",,,False,,FILM,r,age16,[{'country': 'Канада'}],"['драма', 'мелодрама']",,,False,False,False,2022-09-08T03:01:02.259121,Вас не догонят
742,tt0199725,https://kinopoiskapiunofficial.tech/images/posters/kp/742.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/742.jpg,,,7.2,https://www.kinopoisk.ru/film/742/,2000,124,A story of the passion it takes to keep your dreams alive.,"Моника и Квинси знают друг друга с детства. Еще когда им было по 11, Квинси был потрясен тем, что какая-то девчонка может играть в баскетбол лучше, чем большинство парней. Но время шло, они становились старше. И на смену дружбе пришло другое чувство – любовь.

К сожалению, это не продлилось долго – Квинси, мечтая быть как отец известным игроком в НБА, бросает Монику и уходит в профессиональные баскетболисты. Сблизивший их баскетбол их же жестоко и разлучил. Но жизнь не так плоха, и она дарит им случайную встречу, которая может сделать их снова близкими и счастливыми или... чужими и очень далекими.",,,False,,FILM,pg13,age12,[{'country': 'США'}],"['драма', 'мелодрама', 'спорт']",,,False,False,False,2022-08-31T23:13:40.465647,Любовь и баскетбол
743,tt0258273,https://kinopoiskapiunofficial.tech/images/posters/kp/743.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/743.jpg,,,6.7,https://www.kinopoisk.ru/film/743/,2001,91,If you're hoping for the perfect family don't hold your breath.,"Здесь, словно в ярком калейдоскопе, собраны непредсказуемые ситуации, забавные сцены, горести и радости, которыми наполнена жизнь всех, кто смело идет по жизни в поисках счастья и любви.",,,False,,FILM,r,age16,[{'country': 'США'}],"['драма', 'мелодрама', 'комедия']",,,False,False,False,2022-09-08T01:12:29.640949,Обаятельная и привлекательная
744,tt0254455,https://kinopoiskapiunofficial.tech/images/posters/kp/744.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/744.jpg,,,7.1,https://www.kinopoisk.ru/film/744/,2001,128,,"Люсия, молодая официантка из ресторана в центре Мадрида, уезжает на тихий и спокойный остров в Средиземном море после того, как узнаёт об исчезновении своего возлюбленного, с которым прожила шесть лет. Там, среди восхитительной природы, свежего воздуха и под ярким солнцем, Люсия начинает познавать самые тёмные уголки своего прошлого, проведённого с любимым - как если бы это были запрещённые отрывки из романа, которые автор, находясь вдалеке, ей позволяет теперь прочитать...",,,False,,FILM,r,age16,"[{'country': 'Франция'}, {'country': 'Испания'}]","['драма', 'мелодрама']",,,False,False,False,2022-09-07T16:42:32.241068,Люсия и секс
745,tt0227005,https://kinopoiskapiunofficial.tech/images/posters/kp/745.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/745.jpg,,,6.3,https://www.kinopoisk.ru/film/745/,2001,95,Такая вот... «коза ностра»,"Два друга, боксеры-любители: Бобби и Рикки не избалованы деньгами. И это сильно портит им жизнь. Но однажды они получают шанс поправить свои дела. Местный авторитет отправляет их с поручением в Нью-Йорк.

И если для Бобби это просто очередная работа, то для Рикки - путь к давней мечте стать крутым парнем. Шикарный прием на Манхэттене совершенно сбивает Рикки с толку. Мир больших денег: лимузин, клубы, девочки - вот оно, свершилось! И он решает, что тут все схвачено, и они уже крутые бандиты! И когда он почти свыкся с новой ролью, пришло время сделать то, за чем они сюда приехали...",,,False,,FILM,r,age16,[{'country': 'США'}],"['драма', 'криминал', 'комедия']",,,False,False,False,2022-08-16T02:17:21.774726,Всё схвачено!
746,tt0268995,https://kinopoiskapiunofficial.tech/images/posters/kp/746.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/746.jpg,https://avatars.mds.yandex.net/get-ott/1672343/2a00000168e5fc838ec84ceac4eb0cdf8425/orig,,6.9,https://www.kinopoisk.ru/film/746/,2001,153,The story of a man brought back to life and the town he brought back with him.,"История о человеке, ищущем самого себя. Питер, голливудский сценарист, случайно попадает в маленький городок Лоусон в Калифорнии: после автомобильной аварии он полностью теряет память.

Его принимают за пропавшего без вести героя Второй мировой. Питер, который сам поверил в это, берется за восстановление заброшенного городского кинотеатра. Невеста героя, которая ждала его несколько лет, также не замечает, что рядом с ней — двойник. Прекрасная жизнь основана на прекрасном обмане. Но правда, рано или поздно, откроется...",Потеря памяти меняет жизнь голливудского сценариста к лучшему. Сентиментальная ретромелодрама с Джимом Керри,,False,,FILM,pg,age12,[{'country': 'США'}],"['драма', 'мелодрама']",,,False,False,False,2022-09-08T01:45:02.462737,Мажестик
747,tt0213847,https://kinopoiskapiunofficial.tech/images/posters/kp/747.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/747.jpg,https://avatars.mds.yandex.net/get-ott/224348/2a00000162251f191950fc7afd74e592cc8b/orig,https://avatars.mds.yandex.net/get-ott/224348/2a0000017f9204422c26d9c6136a089965e5/orig,7.4,https://www.kinopoisk.ru/film/747/,2000,100,She was too beautiful and he was too young to protect her,"Малена - красавица-вдова, наваждение мужчин и предмет зависти женщин. Жены распускают о ней грязные сплетни. Мужья преследуют ее по пятам и грезят о ней.

«Мне было 13, когда я увидел ее впервые. Прошло время, я любил многих женщин, и когда мы были близки, они спрашивали: буду ли я помнить их? И я говорил: да, я буду помнить вас. Но единственная, кого я никогда не забуду - та, которая никогда не спрашивала. Малена».","История молодой вдовы, для которой красота становится проклятием. Моника Беллуччи в драме о похоти и зависти",,False,,FILM,r,age16,"[{'country': 'США'}, {'country': 'Италия'}]","['драма', 'мелодрама', 'военный']",,,False,False,False,2022-09-03T18:18:15.990243,Малена
748,tt0206917,https://kinopoiskapiunofficial.tech/images/posters/kp/748.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/748.jpg,,,6.1,https://www.kinopoisk.ru/film/748/,2000,100,,"1927 год. Обстоятельства разлучают семью из далекой российской глубинки. Отец в поисках заработка эмигрирует в Америку, а малолетняя дочь, пытаясь найти его следы, волею судьбы вскоре оказывается в Христианском приюте в Англии. Здесь она получает новое имя – Сьюзи и билет в новую жизнь, учится петь и забывает родной язык.

Проходит много лет. И вот уже прелестная девушка, одаренная незабываемым красивым голосом, попадает в Париж. Колыбель любви и нежный возраст красавицы приносят свои плоды. Неизведанное чувство и первая страсть целиком захватывает доверчивую девушку. Но неожиданно безоблачное счастье разбивается начавшейся войной и нацистским вторжением.

Покинув Париж, потеряв любимого человека и лучшую подругу, Сьюзи устремляется в Америку навстречу неизвестности. Встретит ли она наконец своего отца или же ей в очередной раз суждено остаться в одиночестве?…",,,False,,FILM,r,age16,"[{'country': 'Франция'}, {'country': 'Великобритания'}]","['драма', 'мелодрама', 'военный', 'музыка']",,,False,False,False,2022-09-01T20:20:09.910127,"Человек, который плакал"
749,tt0291341,https://kinopoiskapiunofficial.tech/images/posters/kp/749.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/749.jpg,,,6.4,https://www.kinopoisk.ru/film/749/,2001,99,"It's Not Just About Football, It's About Pride Inside!","У Дэнни Михэна есть все: деньги, слава, дорогие машины. Он - капитан английской национальной команды по футболу. Но однажды идиллия нарушается; Дэнни получает трехлетний тюремный срок за нападение на офицера полиции в состоянии алкогольного опьянения. Начальник тюрьмы, в которой оказался Дэнни, вложил немало собственных денег в создание футбольной команды и решил заполучить маститого футболиста в качестве тренера для своей команды. Его мечта - выиграть «тюремную лигу». Но Дэнни создает команду из заключенных, которая должна сыграть первый матч со своими тюремщиками. Начальник тюрьмы не возражает; он не верит, что заключенные могут выиграть.",,,False,,FILM,r,age16,"[{'country': 'США'}, {'country': 'Великобритания'}]","['драма', 'криминал', 'комедия', 'спорт']",,,False,False,False,2022-09-09T17:51:55.511065,Костолом
750,tt0212338,https://kinopoiskapiunofficial.tech/images/posters/kp/750.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/750.jpg,https://avatars.mds.yandex.net/get-ott/224348/2a00000161276ef4f9b7e92a05975dc8b389/orig,https://avatars.mds.yandex.net/get-ott/224348/2a0000017f888b86080bab93c90c2f15381d/orig,7.0,https://www.kinopoisk.ru/film/750/,2000,108,He finally met the girl of his dreams. Too bad her dad's a nightmare,"Обладатель замечательной фамилии, санитар Грэг Трахер, отправляется за город, чтобы познакомиться с родителями своей девушки Пэм. Здесь Грэг собирается торжественно просить руки возлюбленной. Но, к несчастью, Грэг — парень невезучий, и любые благие начинания в его исполнении превращаются в сущий кошмар.

Несчастный Трахер и в самом страшном сне не предполагал, какие его ждут испытания. Дело в том, что отец Пэм, Джек Бернс, — отставной сотрудник ЦРУ, устраивает приятелям дочери свою особую и жесткую проверку. Эта проверка включает в себя даже специальный тест на детекторе лжи!",Неудачник Грэг пытается влиться в семью своей невесты. Отвязная комедия с Беном Стиллером и Робертом Де Ниро,,False,,FILM,pg13,age12,[{'country': 'США'}],"['мелодрама', 'комедия']",,,False,False,False,2022-09-07T16:41:04.439196,Знакомство с родителями
